dem_id,node,product,segment,bid,capacity
1,1,27,H,800.0,13348.84
2,2,27,H,800.0,21607.09
3,3,27,H,800.0,17846.01
4,4,27,H,800.0,30558.01
5,5,27,H,800.0,10960.69
6,6,27,H,800.0,13973.28
7,7,27,H,800.0,16987.93
8,8,27,H,800.0,6579.31
9,9,27,H,800.0,20850.33
10,10,27,H,800.0,25012.54
11,11,27,H,800.0,15830.04
12,12,27,H,800.0,11802.23
13,13,27,H,800.0,24739.6
14,14,27,H,800.0,18106.54
15,15,27,H,800.0,9964.07
16,16,27,H,800.0,26968.55
17,17,27,H,800.0,17579.28
18,18,27,H,800.0,13189.63
19,19,27,H,800.0,10090.2
20,20,27,H,800.0,14878.91
21,21,27,H,800.0,20972.32
22,22,27,H,800.0,23714.04
23,23,27,H,800.0,12075.16
24,24,27,H,800.0,7226.49
25,25,27,H,800.0,15770.08
26,26,27,H,800.0,15677.03
27,27,27,H,800.0,20426.46
28,28,27,H,800.0,11506.55
29,29,27,H,800.0,15861.05
30,30,27,H,800.0,5619.91
31,31,27,H,800.0,7081.75
32,32,27,H,800.0,9341.71
33,33,27,H,800.0,13100.72
34,34,27,H,800.0,18003.15
35,35,27,H,800.0,18168.57
36,36,27,H,800.0,12184.75
37,37,27,H,800.0,31949.55
38,38,27,H,800.0,28936.96
39,39,27,H,800.0,9422.35
40,40,27,H,800.0,7393.97
41,41,27,H,800.0,4993.41
42,42,27,H,800.0,18627.59
43,43,27,H,800.0,20624.95
44,44,27,H,800.0,23031.71
45,45,27,H,800.0,13183.43
46,46,27,H,800.0,4817.66
47,47,27,H,800.0,4796.98
48,48,27,H,800.0,11868.39
49,49,27,H,800.0,18904.65
50,50,27,H,800.0,16559.92
51,51,27,H,800.0,25930.58
52,52,27,H,800.0,6877.05
53,53,27,H,800.0,12118.58
54,54,27,H,800.0,14849.97
55,55,27,H,800.0,18890.18
56,56,27,H,800.0,14932.67
57,57,27,H,800.0,17192.63
58,58,27,H,800.0,26002.95
59,59,27,H,800.0,18468.38
60,60,27,H,800.0,10576.1
61,61,27,H,800.0,20161.79
62,62,27,H,800.0,15155.98
63,63,27,H,800.0,16367.63
64,64,27,H,800.0,17734.36
65,65,27,H,800.0,11483.81
66,66,27,H,800.0,16481.35
67,67,27,H,800.0,8903.36
68,68,27,H,800.0,11365.95
69,69,27,H,800.0,15459.93
70,70,27,H,800.0,12947.71
71,71,27,H,800.0,8988.14
72,72,27,H,800.0,16396.58
73,1,27,M,500.0,25029.08
74,2,27,M,500.0,40513.3
75,3,27,M,500.0,33461.27
76,4,27,M,500.0,57296.27
77,5,27,M,500.0,20551.29
78,6,27,M,500.0,26199.89
79,7,27,M,500.0,31852.37
80,8,27,M,500.0,12336.2
81,9,27,M,500.0,39094.36
82,10,27,M,500.0,46898.5
83,11,27,M,500.0,29681.32
84,12,27,M,500.0,22129.18
85,13,27,M,500.0,46386.76
86,14,27,M,500.0,33949.76
87,15,27,M,500.0,18682.64
88,16,27,M,500.0,50566.02
89,17,27,M,500.0,32961.15
90,18,27,M,500.0,24730.56
91,19,27,M,500.0,18919.13
92,20,27,M,500.0,27897.96
93,21,27,M,500.0,39323.1
94,22,27,M,500.0,44463.83
95,23,27,M,500.0,22640.92
96,24,27,M,500.0,13549.66
97,25,27,M,500.0,29568.89
98,26,27,M,500.0,29394.43
99,27,27,M,500.0,38299.6
100,28,27,M,500.0,21574.78
101,29,27,M,500.0,29739.47
102,30,27,M,500.0,10537.33
103,31,27,M,500.0,13278.28
104,32,27,M,500.0,17515.7
105,33,27,M,500.0,24563.85
106,34,27,M,500.0,33755.91
107,35,27,M,500.0,34066.06
108,36,27,M,500.0,22846.4
109,37,27,M,500.0,59905.4
110,38,27,M,500.0,54256.8
111,39,27,M,500.0,17666.9
112,40,27,M,500.0,13863.69
113,41,27,M,500.0,9362.64
114,42,27,M,500.0,34926.73
115,43,27,M,500.0,38671.78
116,44,27,M,500.0,43184.46
117,45,27,M,500.0,24718.93
118,46,27,M,500.0,9033.11
119,47,27,M,500.0,8994.34
120,48,27,M,500.0,22253.24
121,49,27,M,500.0,35446.23
122,50,27,M,500.0,31049.86
123,51,27,M,500.0,48619.83
124,52,27,M,500.0,12894.47
125,53,27,M,500.0,22722.34
126,54,27,M,500.0,27843.68
127,55,27,M,500.0,35419.09
128,56,27,M,500.0,27998.76
129,57,27,M,500.0,32236.18
