dem_id,served
1,13348.84
2,21607.09
3,17846.01
4,30558.01
5,10960.69
6,13973.28
7,16987.93
8,6579.31
9,20850.33
10,25012.54
11,15830.04
12,11802.23
13,24739.6
14,18106.54
15,9964.07
16,26968.55
17,17579.28
18,13189.63
19,10090.2
20,14878.91
21,20972.32
22,23714.04
23,12075.16
24,7226.49
25,15770.08
26,15677.03
27,20426.46
28,11506.55
29,15861.05
30,5619.91
31,7081.75
32,9341.71
33,13100.72
34,18003.15
35,18168.57
36,12184.75
37,31949.55
38,28936.96
39,9422.35
40,7393.97
41,4993.41
42,18627.59
43,20624.95
44,23031.71
45,13183.43
46,4817.66
47,4796.98
48,11868.39
49,18904.65
50,16559.92
51,25930.58
52,6877.05
53,12118.58
54,14849.97
55,18890.18
56,14932.67
57,17192.63
58,26002.95
59,18468.38
60,10576.1
61,20161.79
62,15155.98
63,16367.63
64,17734.36
65,11483.81
66,16481.35
67,8903.36
68,11365.95
69,15459.93
70,12947.71
71,8988.14
72,16396.58
73,25029.08
74,40513.3
75,33461.27
76,57296.27
77,20551.29
78,26199.89
79,31852.37
80,12336.2
81,39094.36
82,46898.5
83,29681.32
84,22129.18
85,46386.76
86,33949.76
87,18682.64
88,50566.02
89,32961.15
90,24730.56
91,18919.13
92,27897.96
93,39323.1
94,44463.83
95,22640.92
96,13549.66
97,29568.89
98,29394.43
99,38299.6
100,21574.78
101,29739.47
102,10537.33
103,13278.28
104,17515.7
105,24563.85
106,33755.91
107,34066.06
108,22846.4
109,59905.4
110,54256.8
111,17666.9
112,13863.69
113,9362.64
114,34926.73
115,38671.78
116,43184.46
117,24718.93
118,9033.11
119,8994.34
120,22253.24
121,35446.23
122,31049.86
123,48619.83
124,12894.47
125,22722.34
126,27843.68
127,35419.09
128,27998.76
129,32236.18
130,48755.52
131,34628.21
132,19830.19
133,37803.37
134,28417.46
135,30689.31
136,33251.92
137,21532.14
138,30902.54
139,16693.8
140,21311.16
141,28987.36
142,24276.96
143,16852.76
144,30743.58
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
