p_c,profit_M,bc_Mt,cc_Mt,cc_sold_Mt,wet_Mt,seg_H,seg_M,seg_L,sink_Mt,bc_300_Mt,bc_500_Mt,ghg_Mt,baseline_Mt,rev_bc_M,credit_rev_M,farmgate_M,opex_M,transport_M,capex_M,gap,status
25.0,1535.7889922844813,5.192793751349331,25.03753462621647,25.037534626221603,15.783583867042276,1.1200000199999998e6,2.09999996e6,1.9727937713503034e6,1.0550138540565968e-10,5.192793751349495,-1.6361300367861985e-13,-3.7138165460523354,21.294585759883255,2439.1984388375754,625.9383656555401,741.2871908548404,520.5573048000173,53.52406655377685,213.97925,0.02161805178697425,TIME_LIMIT
100.0,3524.133533776627,5.513785921499612,26.897583743847758,26.89758374384775,17.244654100000655,1.1200000199999998e6,2.09999996e6,2.293785941499652e6,2.5109514812640856e-10,5.419056407988435,0.09472951351117893,-3.9627886047973564,22.888296143376223,2519.446481374913,2689.7583743847754,793.413025211933,564.9780385075461,82.28025826355757,244.40000000002382,0.01860903843231244,TIME_LIMIT
200.0,6235.236312388727,5.518095219118785,26.962788974011968,26.962788974012636,17.284053259999645,1.1200000199999998e6,2.09999996e6,2.2980952391192107e6,8.084639980840889e-8,5.396723136235978,0.12137208288279389,-3.9828706245115715,22.93715617079438,2520.523805779804,5392.5577948025275,795.1207280299496,566.2551125694523,77.23944759406281,239.23000000013747,0.009023591686405368,TIME_LIMIT
