p_c,profit_M,bc_Mt,bc300_Mt,bc500_Mt,cc_Mt,seg_H,seg_M,seg_L,sink_Mt,ghg_Mt,gap,status
0.0,675.4808506424047,2.3000000099987754,1.4999999899992957,0.8000000199994799,12.088202881008653,800000.0199999999,1.49999999e6,4.858019583655034e-7,0.0,-2.013783366740417,0.004895333013476309,OPTIMAL
50.0,1731.0339899868081,4.800000039998403,4.000000019999079,0.8000000199993248,24.422682557000833,800000.0199999999,1.49999999e6,2.5000000300000003e6,1.57160684466362e-8,-3.793996667711443,0.03338895808287011,TIME_LIMIT
100.0,3092.2385151162975,4.800000039999161,2.029330174590181,2.7706698654089803,27.636627453206646,800000.0199999999,1.4999999899999693e6,2.5000000299999504e6,7.812286639818922e-8,-4.692689717029858,0.021382464055588836,TIME_LIMIT
200.0,5865.822500847082,4.795525104190384,1.9666980161523056,2.8288270880380786,27.705044196219724,800000.0199999999,1.4999999900005222e6,2.4955250941900495e6,2.2527001981774275e-7,-4.7148051819408785,0.011925259131835553,TIME_LIMIT
