p_c,profit_M,bc_Mt,bc300_Mt,bc500_Mt,cc_Mt,emis_kt,status
50.0,685.9478484169508,2.30000000999966,0.7980456000007542,1.5019544099989053,2.4888646557847687,1108.7005478259791,OPTIMAL
100.0,875.1331223034534,2.714818372171054,0.0,2.714818372171054,4.467541881839474,1385.5091923520208,OPTIMAL
150.0,1161.1081288953808,3.7623229792898,0.0,3.7623229792898,6.206135628638248,1943.7539454238272,TIME_LIMIT
200.0,1491.4214121072403,4.1968732404210565,0.0,4.1968732404210565,6.946895055066292,2213.552949692839,TIME_LIMIT
