p_c,profit,emis,bc,cc,bc300,bc500,net_Mt,seg_H,seg_M,seg_L,sink_Mt,rev_bc_M,credit_rev_M,tax_M,farmgate_M,opex_M,transport_M,capex_M,gap,status
50.0,778.04788652709,1003.2631786726666,2.2993954413836577,2.4805757276839584,2.2993954413836577,0.0,-1.5968728078432324,0.8000000199999999,1.4993954213840421,0.0,0.0,1389.697726692021,124.02878638421056,55.1423419858419,321.1850995650739,228.46722027216393,35.65021524863802,95.23374947742342,0.006923357969305665,TIME_LIMIT
100.0,902.2147815196298,1012.4789171663338,2.3210170413834343,2.5027342640837458,2.3210170413834104,2.5089437971099595e-14,-1.6109392082293539,0.8000000199999999,1.49999999,0.02101703138349049,2.0893441318328197e-16,1395.2542688458727,250.27342640837776,56.06391583520809,324.4283395650228,230.6109432488711,35.730465085518226,96.47925,0.009319962960667916,TIME_LIMIT
150.0,1033.716433364278,1111.1996962547298,2.5384957255938736,2.7339342180310138,2.5214260413833407,0.017069684210533474,-1.754720789298744,0.8000000199999999,1.49999999,0.23849571559387386,5.82076609134674e-17,1449.6239398984685,410.09013270465186,65.93599374404761,357.82301956500214,252.66847699397746,40.706398935815145,108.86375,0.02630449977810928,TIME_LIMIT
200.0,1184.0077147155846,1226.5006050211396,2.7662062611857894,2.9882329734188717,2.7496107348699996,0.016595526315789474,-1.9055546715338203,0.8000000199999999,1.49999999,0.46620625118578957,1.455191522836685e-17,1506.5515737964472,597.6465946837742,77.46608462068846,388.31088607300006,280.95215777656665,50.02757529438209,123.43375,0.030249539607743084,TIME_LIMIT
