dem_id,served
1,4656.02
2,19745.73
3,11125.19
4,55854.66
5,2577.49
6,5340.46
7,9596.34
8,557.47
9,17742.82
10,30630.73
11,7764.8
12,3217.93
13,29638.92
14,11619.58
15,1936.4
16,38393.41
17,10633.78
18,4491.4
19,2010.87
20,6447.59
21,18056.08
22,26103.63
23,3446.38
24,738.7
25,7676.89
26,7541.81
27,16682.58
28,2982.08
29,7810.52
30,347.43
31,695.19
32,1595.74
33,4401.19
34,11421.68
35,11739.41
36,3541.06
37,63837.86
38,47428.89
39,1637.42
40,791.26
41,243.71
42,12651.85
43,17173.66
44,23914.59
45,4485.07
46,218.87
47,216.07
48,3272.35
49,13224.84
50,8889.13
51,34128.78
52,636.64
53,3483.69
54,6410.04
55,13194.49
56,6517.74
57,9947.43
58,34415.32
59,12330.21
60,2315.59
61,16042.49
62,6814.53
63,8583.05
64,10917.68
65,2964.43
66,8763.2
67,1381.49
68,2874.1
69,7232.8
70,4248.77
71,1421.32
72,8628.67
73,8730.04
74,37023.24
75,20859.74
76,104727.49
77,4832.8
78,10013.37
79,17993.13
80,1045.26
81,33267.8
82,57432.61
83,14558.99
84,6033.61
85,55572.97
86,21786.71
87,3630.75
88,71987.65
89,19938.33
90,8421.38
91,3770.38
92,12089.24
93,33855.15
94,48944.31
95,6461.96
96,1385.06
97,14394.17
98,14140.89
99,31279.84
100,5591.41
101,14644.73
102,651.44
103,1303.49
104,2992.02
105,8252.22
106,21415.65
107,22011.39
108,6639.49
109,119696.0
110,88929.17
111,3070.17
112,1483.6
113,456.96
114,23722.22
115,32200.62
116,44839.85
117,8409.51
118,410.39
119,405.13
120,6135.66
121,24796.57
122,16667.11
123,63991.46
124,1193.69
125,6531.92
126,12018.82
127,24739.66
128,12220.75
129,18651.44
130,64528.73
131,23119.14
132,4341.73
133,30079.67
134,12777.25
135,16093.22
136,20470.66
137,5558.31
138,16431.0
139,2590.29
140,5388.93
141,13561.5
142,7966.45
143,2664.98
144,16178.75
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
