node,product,inherent_value
23,7,-0.0
23,8,-0.0
23,9,-0.0
23,10,-0.0
23,11,-0.0
23,12,-0.0
23,13,-0.0
24,1,67.01216574828197
24,2,42.76855144165442
24,3,-0.0
24,4,-0.0
24,5,-0.0
24,6,-0.0
24,7,-0.0
24,8,-0.0
24,9,-0.0
24,10,-0.0
24,11,-0.0
24,12,-0.0
24,13,-0.0
25,1,65.10726054827536
25,2,47.03727707549335
25,3,-0.0
25,4,-0.0
25,5,-0.0
25,6,-0.0
25,7,-0.0
25,8,-0.0
25,9,-0.0
25,10,-0.0
25,11,-0.0
25,12,-0.0
25,13,-0.0
26,1,43.91999192450354
26,2,33.085236350169076
26,3,-0.0
26,4,-0.0
26,5,-0.0
26,6,-0.0
26,7,-0.0
26,8,-0.0
26,9,-0.0
26,10,23.0
26,11,-0.0
26,12,-0.0
26,13,-0.0
27,1,72.32735297986954
27,2,51.6
27,3,-0.0
27,4,-0.0
27,5,-0.0
27,6,-0.0
27,7,-0.0
27,8,-0.0
27,9,-0.0
27,10,21.536923362492242
27,11,-0.0
27,12,-0.0
27,13,-0.0
28,1,72.10284022012215
28,2,47.93476116974868
28,3,-0.0
28,4,-0.0
28,5,-0.0
28,6,-0.0
28,7,-0.0
28,8,-0.0
28,9,-0.0
28,10,-0.0
28,11,-0.0
28,12,-0.0
28,13,-0.0
29,1,57.83686180842895
29,2,44.18004254285009
29,3,-0.0
29,4,-0.0
29,5,-0.0
29,6,-0.0
29,7,-0.0
29,8,-0.0
29,9,-0.0
29,10,14.116965905342322
29,11,-0.0
29,12,-0.0
29,13,-0.0
30,1,57.01865346261498
30,2,35.390623138153984
30,3,-0.0
30,4,-0.0
30,5,-0.0
30,6,-0.0
30,7,-0.0
30,8,-0.0
30,9,-0.0
30,10,-0.0
30,11,-0.0
30,12,-0.0
30,13,-0.0
31,1,75.32575914180457
31,2,27.070731568455724
31,3,-0.0
31,4,-0.0
31,5,-0.0
31,6,-0.0
31,7,-0.0
31,8,-0.0
31,9,-0.0
31,10,-0.0
31,11,-0.0
31,12,-0.0
31,13,-0.0
32,1,60.44009789333854
32,2,43.77537878699142
32,3,-0.0
32,4,-0.0
32,5,-0.0
32,6,-0.0
32,7,-0.0
32,8,-0.0
32,9,-0.0
32,10,13.712302149483655
32,11,-0.0
32,12,-0.0
32,13,-0.0
33,1,69.3315830286785
33,2,44.741195666216754
33,3,-0.0
33,4,-0.0
33,5,-0.0
33,6,-0.0
33,7,-0.0
33,8,-0.0
33,9,-0.0
33,10,-0.0
33,11,-0.0
33,12,-0.0
33,13,-0.0
34,1,62.573740953291825
34,2,48.78327242015192
34,3,-0.0
34,4,-0.0
34,5,-0.0
34,6,-0.0
34,7,-0.0
34,8,-0.0
34,9,-0.0
34,10,20.338316682776494
34,11,-0.0
34,12,-0.0
34,13,-0.0
35,1,65.39046853313991
35,2,51.6
35,3,-0.0
35,4,-0.0
35,5,-0.0
35,6,-0.0
35,7,-0.0
35,8,-0.0
35,9,-0.0
35,10,32.25142276671569
35,11,-0.0
35,12,-0.0
35,13,-0.0
36,1,64.63787211778958
36,2,26.098945544501476
36,3,-0.0
36,4,-0.0
36,5,-0.0
36,6,-0.0
36,7,-0.0
36,8,-0.0
36,9,-0.0
36,10,-0.0
36,11,-0.0
36,12,-0.0
36,13,-0.0
37,1,76.65404963113767
37,2,62.86358109799776
37,3,-0.0
37,4,-0.0
37,5,-0.0
37,6,-0.0
37,7,-0.0
37,8,-0.0
37,9,-0.0
37,10,23.0
37,11,-0.0
37,12,-0.0
37,13,-0.0
38,1,66.65919875736117
38,2,36.76629470250688
38,3,-0.0
38,4,-0.0
38,5,-0.0
38,6,-0.0
38,7,-0.0
38,8,-0.0
38,9,-0.0
38,10,8.413827178052024
38,11,-0.0
38,12,-0.0
38,13,-0.0
39,1,63.54574594339404
39,2,43.1815129196995
39,3,-0.0
39,4,-0.0
39,5,-0.0
39,6,-0.0
39,7,-0.0
39,8,-0.0
39,9,-0.0
39,10,7.892891395650988
39,11,-0.0
39,12,-0.0
39,13,-0.0
40,1,67.64153046003513
40,2,45.918854796325924
40,3,-0.0
40,4,-0.0
40,5,-0.0
40,6,-0.0
40,7,-0.0
40,8,-0.0
40,9,-0.0
40,10,14.511373674519923
40,11,-0.0
40,12,-0.0
40,13,-0.0
41,1,57.8904600586759
41,2,36.68177568024077
41,3,-0.0
41,4,-0.0
41,5,-0.0
41,6,-0.0
41,7,-0.0
41,8,-0.0
41,9,-0.0
41,10,-0.0
41,11,-0.0
41,12,-0.0
41,13,-0.0
42,1,61.64399969649616
42,2,45.628991706580706
42,3,-0.0
42,4,-0.0
42,5,-0.0
42,6,-0.0
42,7,-0.0
42,8,-0.0
42,9,-0.0
42,10,15.565915069072947
42,11,-0.0
42,12,-0.0
42,13,-0.0
43,1,66.99818644564184
43,2,40.47732439398036
43,3,-0.0
43,4,-0.0
43,5,-0.0
43,6,-0.0
43,7,-0.0
43,8,-0.0
43,9,-0.0
43,10,9.451527345992055
43,11,-0.0
43,12,-0.0
43,13,-0.0
44,1,61.12953448141065
44,2,44.96853047521225
44,3,-0.0
44,4,-0.0
44,5,-0.0
44,6,-0.0
44,7,-0.0
44,8,-0.0
44,9,-0.0
44,10,23.0
44,11,-0.0
44,12,-0.0
44,13,-0.0
45,1,74.10941520170655
45,2,41.56322696864759
45,3,-0.0
45,4,-0.0
45,5,-0.0
45,6,-0.0
45,7,-0.0
45,8,-0.0
45,9,-0.0
45,10,6.8691461920951475
45,11,-0.0
45,12,-0.0
45,13,-0.0
46,1,67.56944315402761
46,2,35.43885013171064
46,3,-0.0
46,4,-0.0
46,5,-0.0
46,6,-0.0
46,7,-0.0
46,8,-0.0
46,9,-0.0
46,10,-0.0
46,11,-0.0
46,12,-0.0
46,13,-0.0
47,1,59.447639940770415
47,2,51.6
47,3,-0.0
47,4,-0.0
47,5,-0.0
47,6,-0.0
47,7,-0.0
47,8,-0.0
47,9,-0.0
47,10,14.166814059338801
47,11,-0.0
47,12,-0.0
47,13,-0.0
48,1,70.64931119125642
48,2,51.6
48,3,-0.0
48,4,-0.0
48,5,-0.0
48,6,-0.0
48,7,-0.0
48,8,-0.0
48,9,-0.0
48,10,8.905224295727638
48,11,-0.0
48,12,-0.0
48,13,-0.0
49,1,54.359195083980964
49,2,53.82736038016341
49,3,-0.0
49,4,-0.0
49,5,-0.0
49,6,-0.0
49,7,-0.0
49,8,-0.0
49,9,-0.0
49,10,17.676883923975048
49,11,-0.0
49,12,-0.0
49,13,-0.0
50,1,64.97416298442121
50,2,51.1836944512813
50,3,-0.0
50,4,-0.0
50,5,-0.0
50,6,-0.0
50,7,-0.0
50,8,-0.0
50,9,-0.0
50,10,14.899577704597839
50,11,-0.0
50,12,-0.0
50,13,-0.0
51,1,57.835984938968
51,2,44.48652262858563
51,3,-0.0
51,4,-0.0
51,5,-0.0
51,6,-0.0
51,7,-0.0
51,8,-0.0
51,9,-0.0
51,10,35.9958052042042
51,11,-0.0
51,12,-0.0
51,13,-0.0
52,1,62.3366072155429
52,2,35.16615296277024
52,3,-0.0
52,4,-0.0
52,5,-0.0
52,6,-0.0
52,7,-0.0
52,8,-0.0
52,9,-0.0
52,10,-0.0
52,11,-0.0
52,12,-0.0
52,13,-0.0
53,1,61.915788671740884
53,2,42.43465091673687
53,3,-0.0
53,4,-0.0
53,5,-0.0
53,6,-0.0
53,7,-0.0
53,8,-0.0
53,9,-0.0
53,10,1.8188234796438163
53,11,-0.0
53,12,-0.0
53,13,-0.0
54,1,65.69043173912053
54,2,47.99155720596725
54,3,-0.0
54,4,-0.0
54,5,-0.0
54,6,-0.0
54,7,-0.0
54,8,-0.0
54,9,-0.0
54,10,-0.0
54,11,-0.0
54,12,-0.0
54,13,-0.0
55,1,54.74315476818437
55,2,52.39234789141081
55,3,-0.0
55,4,-0.0
55,5,-0.0
55,6,-0.0
55,7,-0.0
55,8,-0.0
55,9,-0.0
55,10,32.549329690864106
55,11,-0.0
55,12,-0.0
55,13,-0.0
56,1,65.58267372078448
56,2,60.67028222081319
56,3,-0.0
56,4,-0.0
56,5,-0.0
56,6,-0.0
56,7,-0.0
56,8,-0.0
56,9,-0.0
56,10,13.25434431556716
56,11,-0.0
56,12,-0.0
56,13,-0.0
57,1,61.379913207372354
57,2,47.064435560129965
57,3,-0.0
57,4,-0.0
57,5,-0.0
57,6,-0.0
57,7,-0.0
57,8,-0.0
57,9,-0.0
57,10,1.4487021623621068
57,11,-0.0
57,12,-0.0
57,13,-0.0
58,1,49.5
58,2,49.90011685825095
58,3,-0.0
58,4,-0.0
58,5,-0.0
58,6,-0.0
58,7,-0.0
58,8,-0.0
58,9,-0.0
58,10,37.89205371714747
58,11,-0.0
58,12,-0.0
58,13,-0.0
59,1,75.1572024127698
59,2,46.876661128269646
59,3,-0.0
59,4,-0.0
59,5,-0.0
59,6,-0.0
59,7,-0.0
59,8,-0.0
59,9,-0.0
59,10,13.605350737386448
59,11,-0.0
59,12,-0.0
59,13,-0.0
60,1,75.80150746956382
60,2,28.42073126936173
60,3,-0.0
60,4,-0.0
60,5,-0.0
60,6,-0.0
60,7,-0.0
60,8,-0.0
60,9,-0.0
60,10,-0.0
60,11,-0.0
60,12,-0.0
60,13,-0.0
61,1,66.73021153892398
61,2,51.6
61,3,-0.0
61,4,-0.0
61,5,-0.0
61,6,-0.0
61,7,-0.0
61,8,-0.0
61,9,-0.0
61,10,24.01664912915529
61,11,-0.0
61,12,-0.0
61,13,-0.0
62,1,64.57526318469263
62,2,47.37464377948719
62,3,-0.0
62,4,-0.0
62,5,-0.0
62,6,-0.0
62,7,-0.0
62,8,-0.0
62,9,-0.0
62,10,17.311567141979424
62,11,-0.0
62,12,-0.0
62,13,-0.0
63,1,56.22816009508508
63,2,39.69325744646786
