p_c,profit_M,bc_Mt,cc_Mt,cc_sold_Mt,wet_Mt,seg_H,seg_M,seg_L,sink_Mt,bc_300_Mt,bc_500_Mt,ghg_Mt,baseline_Mt,rev_bc_M,credit_rev_M,farmgate_M,opex_M,transport_M,capex_M,gap,status
200.0,3360.6713840018333,2.8569436258732237,13.556037939172732,13.556037939172993,8.93386476999905,800000.0199999999,1.49999999e6,556943.6158740585,1.0595249477773905e-7,2.8569436258732237,0.0,-1.9545701544359346,11.568083109114799,1529.2359149685176,2711.207587834599,401.67340607195524,292.0596439311691,59.10381879815897,126.93525,0.009068544799363915,TIME_LIMIT
100.0,2006.0842952368196,2.8569436258737633,13.556037939175491,13.556037939176319,8.93386476999987,800000.0199999999,1.49999999e6,556943.6158739359,7.275957614183426e-12,2.8569436258737633,0.0,-1.9552531491014895,11.568083109115769,1529.235914968484,1355.603793917632,401.67340607200936,292.0596439312221,58.075363646065036,126.947,0.013725229733446103,TIME_LIMIT
25.0,997.6022712150336,2.7443116253862696,12.955929874120596,12.9559298741206,8.450558879089378,800000.0199999999,1.49999999e6,444311.6153864671,9.136419976130128e-8,2.7443116253862687,1.0538267241300716e-15,-1.8851809215983473,11.044954471231236,1501.0779148466197,323.89824685301494,384.1935208970539,277.3969264922525,46.34468013517059,119.43876296012367,0.018005401469885225,TIME_LIMIT
