p_c,profit_M,bc_Mt,cc_Mt,cc_sold_Mt,wet_Mt,seg_H,seg_M,seg_L,sink_Mt,bc_300_Mt,bc_500_Mt,ghg_Mt,baseline_Mt,gap,status
0.0,708.7350898140826,2.30000001,10.772558876009423,10.772558876009423,6.913870919136252,800000.0199999999,1499999.99,0.0,0.0,2.30000001,0.0,-1.59514239877838,9.15392844478502,0.00950184714513,TIME_LIMIT
25.0,996.0485634266748,2.719260721287767,12.837413833786496,12.83741383378845,8.369668568413926,800000.0199999999,1499999.99,419260.7112884013,1.0746589396148922e-08,2.719260721287767,0.0,-1.869333167014148,10.941964389095748,0.0192517195367891,TIME_LIMIT
50.0,1330.546256417408,2.8368685872873143,13.45584450039636,13.455844500396386,8.862007838698144,800000.0199999999,1499999.99,536868.5772872666,0.0,2.8368685872871837,1.2987905234330486e-13,-1.9470506028856076,11.480737334248364,0.017831109022197,TIME_LIMIT
100.0,2003.3002204155607,2.8504685201774924,13.534928088770837,13.53492808877074,8.9193287299961,800000.0199999999,1499999.99,550468.5101775192,1.1311985346091381e-08,2.8431455871507008,0.0073229330267698,-1.956114068845321,11.548042270763611,0.0165150953608354,TIME_LIMIT
150.0,2683.0666637951763,2.85582268009544,13.557227438791545,13.557227438791816,8.933864769999403,800000.0199999999,1499999.99,555822.670096428,1.4551915228366852e-11,2.8516191334287964,0.0042035466666437,-1.9586047423544368,11.568083109115252,0.0116544014253184,TIME_LIMIT
200.0,3361.834607280771,2.85414395496092,13.559197157827352,13.559197157827322,8.933864770000234,800000.0199999999,1499999.99,554143.9449609387,1.3804193898289713e-08,2.843645189036035,0.0104987659248656,-1.9611982500992589,11.568083109116182,0.0107308885022328,TIME_LIMIT
