row,seg,node,margin,e_d,tau,route
8,H,8,479.95,460.706,1.0,"T1:2.87, T14:2.63"
9,H,9,472.44,472.868,1.0,"T1:2.87, T14:2.63"
10,H,10,475.87,468.999,1.0,"T1:2.87, T14:2.63"
12,H,12,480.65,459.656,1.0,"T1:2.87, T14:2.63"
15,H,15,471.24,470.526,1.0,"T1:2.87, T14:2.63"
17,H,17,474.3,470.767,1.0,"T1:2.87, T14:2.63"
18,H,18,470.94,470.61,1.0,"T1:2.87, T14:2.63"
19,H,19,464.61,477.999,1.0,"T1:2.87, T14:2.63"
21,H,21,466.36,475.777,1.0,"T1:2.87, T14:2.63"
27,H,27,479.16,465.285,1.0,"T1:2.87, T14:2.63"
29,H,29,479.03,461.485,1.0,"T1:2.87, T14:2.63"
31,H,31,479.75,464.87,1.0,"T1:2.87, T14:2.63"
32,H,32,474.7,466.37,1.0,"T1:2.87, T14:2.63"
34,H,34,469.78,471.92,1.0,"T1:2.87, T14:2.63"
35,H,35,468.02,473.897,1.0,"T1:2.87, T14:2.63"
36,H,36,479.38,461.341,1.0,"T1:2.87, T14:2.63"
37,H,37,475.2,469.754,1.0,"T1:2.87, T14:2.63"
38,H,38,468.83,473.244,1.0,"T1:2.87, T14:2.63"
39,H,39,481.2,459.045,1.0,"T1:2.87, T14:2.63"
40,H,40,472.29,469.092,1.0,"T1:2.87, T14:2.63"
42,H,42,476.94,463.844,1.0,"T1:2.87, T14:2.63"
43,H,43,472.15,469.501,1.0,"T1:2.87, T14:2.63"
44,H,44,465.17,477.119,1.0,"T1:2.87, T14:2.63"
45,H,45,481.04,463.414,1.0,"T1:2.87, T14:2.63"
47,H,47,469.64,472.079,1.0,"T1:2.87, T14:2.63"
48,H,48,476.98,467.748,1.0,"T1:2.87, T14:2.63"
49,H,49,470.54,475.005,1.0,"T1:2.87, T14:2.63"
50,H,50,475.69,465.254,1.0,"T1:2.87, T14:2.63"
51,H,51,463.95,478.486,1.0,"T1:2.87, T14:2.63"
53,H,53,480.8,459.494,1.0,"T1:2.87, T14:2.63"
55,H,55,465.23,477.047,1.0,"T1:2.87, T14:2.63"
56,H,56,474.38,470.676,1.0,"T1:2.87, T14:2.63"
58,H,58,461.81,480.908,1.0,"T1:2.87, T14:2.63"
59,H,59,477.66,466.978,1.0,"T1:2.87, T14:2.63"
61,H,61,471.71,473.688,1.0,"T1:2.87, T14:2.63"
62,H,62,472.1,469.305,1.0,"T1:2.87, T14:2.63"
63,H,63,477.99,462.662,1.0,"T1:2.87, T14:2.63"
64,H,64,462.33,480.317,1.0,"T1:2.87, T14:2.63"
66,H,66,462.37,480.269,1.0,"T1:2.87, T14:2.63"
69,H,69,476.7,464.115,1.0,"T1:2.87, T14:2.63"
70,H,70,482.82,461.164,1.0,"T1:2.87, T14:2.63"
71,H,71,480.34,460.012,1.0,"T1:2.87, T14:2.63"
72,H,72,474.92,466.123,1.0,"T1:2.87, T14:2.63"
11,H,11,484.3,455.542,1.1,"T1:2.87, T14:2.63"
13,H,13,491.44,451.436,1.1,"T1:2.87, T14:2.63"
14,H,14,489.68,453.427,1.1,"T1:2.87, T14:2.63"
20,H,20,486.84,456.877,1.1,"T1:2.87, T14:2.63"
22,H,22,487.82,455.522,1.1,"T1:2.87, T14:2.63"
23,H,23,488.16,451.191,1.1,"T1:2.87, T14:2.63"
24,H,24,482.61,457.448,1.1,"T1:2.87, T14:2.63"
25,H,25,484.44,455.392,1.1,"T1:2.87, T14:2.63"
28,H,28,493.01,449.676,1.1,"T1:2.87, T14:2.63"
30,H,30,487.0,452.503,1.1,"T1:2.87, T14:2.63"
33,H,33,491.01,451.927,1.1,"T1:2.87, T14:2.63"
41,H,41,486.45,453.123,1.1,"T1:2.87, T14:2.63"
46,H,46,482.71,457.34,1.1,"T1:2.87, T14:2.63"
52,H,52,491.27,451.639,1.1,"T1:2.87, T14:2.63"
54,H,54,495.13,447.284,1.1,"T1:2.87, T14:2.63"
57,H,57,483.27,456.71,1.1,"T1:2.87, T14:2.63"
60,H,60,486.7,457.033,1.1,"T1:2.87, T14:2.63"
65,H,65,494.89,447.554,1.1,"T1:2.87, T14:2.63"
67,H,67,484.65,455.151,1.1,"T1:2.87, T14:2.63"
68,H,68,487.91,451.477,1.1,"T1:2.87, T14:2.63"
