p_c,profit,emis,bc,cc,bc300,bc500,gap,status
50.0,653.261958786905,1002.62073829824,2.3000000100000006,2.365228871485405e-13,2.3000000099998665,1.4575837811112016e-13,0.0160707730483509,TIME_LIMIT
100.0,775.4369104981189,1190.71749986732,2.225053382061849,3.607936694278621,4.769698716700105e-13,2.2250533820613723,0.0391305509210737,TIME_LIMIT
150.0,944.9309418081716,1208.6286658937363,2.239400436783265,3.632848872764185,3.237109726295998e-13,2.239400436782941,0.0469017534469807,TIME_LIMIT
200.0,1141.0792325858254,1203.7175408626458,2.2472689755144737,3.6444317368173897,0.0,2.2472689755144737,0.0282731329439717,TIME_LIMIT
