price_mult,cap_mult,profit_M,bc_Mt,ghg_Mt,status
0.6,0.6,66.86961729264348,1.380000006,-0.9674410179454395,OPTIMAL
0.6,0.8,114.16675593762103,1.8400000080000003,-1.2841397359053426,OPTIMAL
0.6,1.0,153.33955601786613,2.2271668613566664,-1.5483665269689704,OPTIMAL
0.6,1.2,186.73648566089076,2.265856862939999,-1.5782313332088214,OPTIMAL
0.6,1.4,217.21473054997463,2.2801221499649995,-1.5891980159371057,OPTIMAL
0.8,0.6,233.66961861264355,1.380000006,-0.9674410179454395,OPTIMAL
0.8,0.8,336.5667576976214,1.8400000080000003,-1.2841397359053426,OPTIMAL
0.8,1.0,430.3026811049106,2.3000000099999998,-1.5951027209433022,OPTIMAL
0.8,1.2,474.0988013890153,2.3011972413833326,-1.601247664512707,OPTIMAL
0.8,1.4,514.3400685130164,2.3011972413833326,-1.602835380825116,OPTIMAL
1.0,0.6,402.3357768869252,1.5875839332533332,-1.112463649702307,OPTIMAL
1.0,0.8,558.97589996017,1.8476232887950004,-1.2895889496584567,OPTIMAL
1.0,1.0,708.3026833049092,2.3000000099999998,-1.5951027209433022,OPTIMAL
1.0,1.2,761.8185269673478,2.3011972413833326,-1.601247664512707,OPTIMAL
1.0,1.4,811.6597943313493,2.3011972413833326,-1.602835380825116,OPTIMAL
1.2,0.6,600.5477471527637,2.2792709486983327,-1.5869177361323465,OPTIMAL
1.2,0.8,796.0270425228874,2.2888313535049996,-1.5930982330763266,OPTIMAL
1.2,1.0,986.30268550491,2.3000000099999998,-1.5951027209433022,OPTIMAL
1.2,1.2,1049.5382525456816,2.3011972413833326,-1.601247664512707,OPTIMAL
1.2,1.4,1108.979520149683,2.3011972413833326,-1.602835380825116,OPTIMAL
1.4,0.6,813.19636383962,2.3011972413833326,-1.6010740790989515,OPTIMAL
1.4,0.8,1041.3805798521755,2.3011972413833326,-1.6011131819879798,OPTIMAL
1.4,1.0,1264.3551927708356,2.3011972413833326,-1.595912892730229,OPTIMAL
1.4,1.2,1337.257978124015,2.3011972413833326,-1.601247664512707,OPTIMAL
1.4,1.4,1406.299245968017,2.3011972413833326,-1.602835380825116,OPTIMAL
