r1,r2,r3,profit,emis,bc,t1,t2,t3,status
25.0,50.0,100.0,653.1493734420262,1002.7859528135557,2.3000000099999998,401.11717028867884,300.83787771650907,300.8309048083687,OPTIMAL
50.0,100.0,200.0,597.9994213784128,1002.7517058972203,2.3000000099999998,401.11717028867884,300.83787771650907,300.79665789203307,OPTIMAL
25.0,25.0,25.0,683.2328601618668,1002.792925721697,2.3000000099999998,0.0,0.0,1002.7929257216972,OPTIMAL
