p_c,profit_M,bc_Mt,cc_Mt,cc_sold_Mt,wet_Mt,seg_H,seg_M,seg_L,sink_Mt,bc_300_Mt,bc_500_Mt,ghg_Mt,baseline_Mt,rev_bc_M,credit_rev_M,farmgate_M,opex_M,transport_M,capex_M,gap,status
25.0,748.8758079780744,2.619369610550019,12.366606662724465,12.366606662724498,8.0706785479981,560000.0299999999,1.0499999899999998e6,1.0093695905500457e6,1.4506440493278205e-8,2.619369610550019,0.0,-1.8074422585543732,10.536848822122657,1225.3424166375114,309.1651665681125,365.992398090003,264.5894886304492,41.13363850709771,113.91625,0.03137146671613474,TIME_LIMIT
100.0,1756.803304560645,2.8529791023375037,13.560018076692486,13.56001807669322,8.933864769999497,560000.0299999999,1.0499999899999998e6,1.24297908233773e6,7.057678885757923e-10,2.8381121390765744,0.014866963260929235,-1.9598837814603203,11.56808310911531,1283.7447895844325,1356.001807669322,401.67340607200725,292.0596439312185,56.999242689885115,132.21099999999998,0.018487368251803128,TIME_LIMIT
200.0,3115.7905361224894,2.856943625873886,13.556037939176067,13.556037939176065,8.933864769999996,560000.0299999999,1.0499999899999998e6,1.2469436058738886e6,2.9103830456733704e-11,2.856943625873886,0.0,-1.9579367021619891,11.568083109115994,1284.7359204684722,2711.2075878352125,401.6734060720003,292.0596439312332,53.63317217796236,132.78674999999998,0.011454529406670019,TIME_LIMIT
