price_mult,cap_mult,profit_M,bc_Mt,ghg_Mt,status
0.6,0.6,80.47886493363505,1.3800000059999997,-0.9893198378221116,OPTIMAL
0.6,0.8,133.06240022967876,1.8400000079999999,-1.3233756290109666,OPTIMAL
0.6,1.0,179.7426268756336,2.3000000099999998,-1.6481973879950973,OPTIMAL
0.6,1.2,213.51269989983481,2.36544,-1.6966950706668713,OPTIMAL
0.6,1.4,244.03339965656167,2.36544,-1.6981378379151508,OPTIMAL
0.8,0.6,247.2788662536353,1.3800000059999997,-0.9893198378221116,OPTIMAL
0.8,0.8,355.4624019896793,1.8400000079999999,-1.3233756290109666,OPTIMAL
0.8,1.0,457.74262907563354,2.3000000099999998,-1.6481973879950973,OPTIMAL
0.8,1.2,507.65670133983434,2.36544,-1.6966950706668713,OPTIMAL
0.8,1.4,547.7774013365611,2.36544,-1.6981378379151508,OPTIMAL
1.0,0.6,418.56136583189726,2.0333691754722216,-1.4645704465640945,OPTIMAL
1.0,0.8,579.8870433670473,2.0370752701,-1.465878224049376,OPTIMAL
1.0,1.0,735.7426312756336,2.3000000099999998,-1.6481973879950973,OPTIMAL
1.0,1.2,801.8007027798342,2.36544,-1.6966950706668713,OPTIMAL
1.0,1.4,851.5214030165608,2.36544,-1.6981378379151508,OPTIMAL
1.2,0.6,627.6079391024771,2.36544,-1.6966623757428059,OPTIMAL
1.2,0.8,823.7112651583989,2.36544,-1.6968850098203732,OPTIMAL
1.2,1.0,1016.0686620752306,2.36544,-1.693992623259713,OPTIMAL
1.2,1.2,1095.9447042198344,2.36544,-1.6966950706668713,OPTIMAL
1.2,1.4,1155.2654046965617,2.36544,-1.6981378379151508,OPTIMAL
1.4,0.6,843.6799401224765,2.36544,-1.6966623757428059,OPTIMAL
1.4,0.8,1072.3832665183988,2.36544,-1.6968850098203732,OPTIMAL
1.4,1.0,1297.3406637752303,2.36544,-1.693992623259713,OPTIMAL
1.4,1.2,1390.0887056598344,2.36544,-1.6966950706668713,OPTIMAL
1.4,1.4,1459.0094063765616,2.36544,-1.6981378379151508,OPTIMAL
