r1,r2,r3,profit,emis,bc,nT1,nT2,gap,status
25.0,50.0,100.0,683.0608798138907,985.2792418920261,2.3000000099998394,33,17,0.004403169468281121,OPTIMAL
50.0,100.0,200.0,629.3034230148196,982.7300967389839,2.3000000099998674,35,20,0.004319788764756119,OPTIMAL
25.0,25.0,25.0,712.9419605328327,982.6724617994187,2.3000000099999998,37,20,0.004983712470137688,OPTIMAL
