cap,profit,emis,bc,pi,status
1032.405855292058,735.7426312756336,983.243671706722,2.3000000099999998,-0.0,OPTIMAL
1002.9085451408565,735.7426312756336,983.243671706722,2.3000000099999998,-0.0,OPTIMAL
983.243671706722,735.7426312756336,983.243671706722,2.3000000099999998,-0.0,OPTIMAL
963.5787982725875,726.545146165436,963.5787982725875,2.2568471923623528,-478.3320133674458,OPTIMAL
934.081488121386,712.2739604668568,934.0814881213857,2.1912899632541887,-490.50056014042195,OPTIMAL
884.9193045360498,687.6061512025434,884.9193045360497,2.0805646130963624,-515.041782250832,OPTIMAL
835.7571209507138,660.6011759903971,835.757120950714,1.967779663553723,-563.8388032671976,OPTIMAL
786.5949373653776,632.630695608988,786.5949373653777,1.854474756889758,-574.316508548548,OPTIMAL
737.4327537800415,604.2659632974155,737.4327537800413,1.7405061588399622,-579.0698887212515,OPTIMAL
688.2705701947053,575.515184832248,688.2705701947056,1.625679016716569,-588.8367607100025,OPTIMAL
589.9462030240331,516.9164662711339,589.9462030240331,1.39429618209768,-601.0787800224103,OPTIMAL
491.621835853361,457.62900643002547,491.621835853361,1.162747710554835,-604.9983112746188,OPTIMAL
