cap_net,profit,net,bc,pi,status
-2000.0,NaN,NaN,NaN,NaN,INFEASIBLE_OR_UNBOUNDED
-1000.0,735.7426312756336,-1648.1973879950974,2.3000000099999998,-0.0,OPTIMAL
0.0,735.7426312756336,-1648.1973879950974,2.3000000099999998,-0.0,OPTIMAL
500.0,735.7426312756336,-1648.1973879950974,2.3000000099999998,-0.0,OPTIMAL
1000.0,735.7426312756336,-1648.1973879950974,2.3000000099999998,-0.0,OPTIMAL
