row,seg,node,margin,e_d,tau,route
64,H,64,513.78,454.213,1.1,"T1:2.87, T14:2.63"
1,H,1,526.02,440.342,1.2,"T1:2.87, T14:2.63"
3,H,3,526.54,443.77,1.2,"T1:2.87, T14:2.63"
5,H,5,524.14,442.463,1.2,"T1:2.87, T14:2.63"
6,H,6,523.92,442.703,1.2,"T1:2.87, T14:2.63"
7,H,7,519.66,447.584,1.2,"T1:2.87, T14:2.63"
8,H,8,527.88,438.239,1.2,"T1:2.87, T14:2.63"
9,H,9,529.18,440.798,1.2,"T1:2.87, T14:2.63"
10,H,10,530.84,438.924,1.2,"T1:2.87, T14:2.63"
11,H,11,530.33,435.48,1.2,"T1:2.87, T14:2.63"
12,H,12,526.6,439.684,1.2,"T1:2.87, T14:2.63"
13,H,13,537.47,431.374,1.2,"T1:2.87, T14:2.63"
14,H,14,537.91,430.884,1.2,"T1:2.87, T14:2.63"
17,H,17,530.89,438.865,1.2,"T1:2.87, T14:2.63"
18,H,18,523.07,443.746,1.2,"T1:2.87, T14:2.63"
20,H,20,534.78,434.41,1.2,"T1:2.87, T14:2.63"
22,H,22,533.77,435.549,1.2,"T1:2.87, T14:2.63"
23,H,23,533.32,432.108,1.2,"T1:2.87, T14:2.63"
24,H,24,530.84,434.905,1.2,"T1:2.87, T14:2.63"
25,H,25,529.28,436.664,1.2,"T1:2.87, T14:2.63"
27,H,27,528.43,441.565,1.2,"T1:2.87, T14:2.63"
28,H,28,533.15,432.301,1.2,"T1:2.87, T14:2.63"
29,H,29,525.06,441.423,1.2,"T1:2.87, T14:2.63"
30,H,30,528.93,437.06,1.2,"T1:2.87, T14:2.63"
31,H,31,521.22,445.747,1.2,"T1:2.87, T14:2.63"
32,H,32,520.73,446.308,1.2,"T1:2.87, T14:2.63"
33,H,33,529.88,435.983,1.2,"T1:2.87, T14:2.63"
34,H,34,518.78,448.582,1.2,"T1:2.87, T14:2.63"
35,H,35,520.28,446.888,1.2,"T1:2.87, T14:2.63"
36,H,36,525.3,441.148,1.2,"T1:2.87, T14:2.63"
37,H,37,527.65,442.52,1.2,"T1:2.87, T14:2.63"
39,H,39,528.65,437.378,1.2,"T1:2.87, T14:2.63"
40,H,40,520.65,446.389,1.2,"T1:2.87, T14:2.63"
41,H,41,528.58,437.455,1.2,"T1:2.87, T14:2.63"
42,H,42,522.97,443.782,1.2,"T1:2.87, T14:2.63"
43,H,43,523.66,446.948,1.2,"T1:2.87, T14:2.63"
45,H,45,525.48,440.946,1.2,"T1:2.87, T14:2.63"
46,H,46,528.85,437.145,1.2,"T1:2.87, T14:2.63"
47,H,47,525.27,441.186,1.2,"T1:2.87, T14:2.63"
48,H,48,532.61,436.855,1.2,"T1:2.87, T14:2.63"
49,H,49,523.28,443.508,1.2,"T1:2.87, T14:2.63"
50,H,50,523.79,442.852,1.2,"T1:2.87, T14:2.63"
51,H,51,518.84,448.514,1.2,"T1:2.87, T14:2.63"
52,H,52,528.21,437.87,1.2,"T1:2.87, T14:2.63"
53,H,53,526.82,439.432,1.2,"T1:2.87, T14:2.63"
55,H,55,525.48,444.975,1.2,"T1:2.87, T14:2.63"
56,H,56,530.63,439.164,1.2,"T1:2.87, T14:2.63"
57,H,57,529.29,436.648,1.2,"T1:2.87, T14:2.63"
58,H,58,518.55,448.838,1.2,"T1:2.87, T14:2.63"
59,H,59,522.51,444.367,1.2,"T1:2.87, T14:2.63"
60,H,60,532.62,436.841,1.2,"T1:2.87, T14:2.63"
61,H,61,523.09,443.72,1.2,"T1:2.87, T14:2.63"
62,H,62,521.37,445.585,1.2,"T1:2.87, T14:2.63"
63,H,63,523.73,442.923,1.2,"T1:2.87, T14:2.63"
65,H,65,533.3,432.136,1.2,"T1:2.87, T14:2.63"
66,H,66,518.98,448.354,1.2,"T1:2.87, T14:2.63"
67,H,67,531.35,434.323,1.2,"T1:2.87, T14:2.63"
68,H,68,530.88,434.862,1.2,"T1:2.87, T14:2.63"
69,H,69,529.09,440.897,1.2,"T1:2.87, T14:2.63"
70,H,70,527.41,438.766,1.2,"T1:2.87, T14:2.63"
71,H,71,532.21,437.306,1.2,"T1:2.87, T14:2.63"
72,H,72,522.96,443.865,1.2,"T1:2.87, T14:2.63"
54,H,54,540.28,428.201,1.3,"T1:2.87, T14:2.63"
