cap_net,profit,net,bc,bc300,bc500,gap,runtime_s,status,mac_fd_dollar_per_t
-1600.0,736.4152696631254,-1648.4498666944712,2.3000000099999993,2.3000000099999993,0.0,0.005,18.0,OPTIMAL,NaN
-1700.0,735.0552063397246,-1699.9999999999998,2.366612342564547,2.366612342564547,0.0,0.005,19.8,OPTIMAL,13.600633234008228
-1800.0,732.0238776645567,-1799.999999999979,2.5099952661437905,2.5099952661437905,2.251717409020977e-16,0.0039,33.9,OPTIMAL,30.31328675167856
-1900.0,727.3014505891647,-1900.0000000000002,2.639587220318667,2.639587220318667,0.0,0.0046,25.7,OPTIMAL,47.22427075392034
-2000.0,723.0265001959872,-1999.9999999999995,2.782106733414167,2.782106733414167,0.0,0.0044,25.9,OPTIMAL,42.74950393177505
-2100.0,719.7770304144784,-2099.9999999999995,2.926201751057167,2.926201751057167,0.0,0.0034,34.9,OPTIMAL,32.49469781508765
-2200.0,714.0755905734354,-2201.1268347524315,3.064875,3.064875,0.0,0.0037,65.2,OPTIMAL,57.014398410429976
