mode,p_allow,profit,emis,bc,surplus,status
grandfather,30.0,735.7426312756334,983.243671706722,2.3000000099999998,0.0,OPTIMAL
grandfather,80.0,735.7426312756335,983.243671706722,2.3000000099999998,0.0,OPTIMAL
benchmark,30.0,735.7426312756335,983.243671706722,2.3000000099999998,0.0,OPTIMAL
benchmark,80.0,735.7426312756331,983.243671706722,2.3000000099999998,0.0,OPTIMAL
