dem_id,node,product,segment,bid,capacity
1,1,27,H,800.0,4656.02
2,2,27,H,800.0,19745.73
3,3,27,H,800.0,11125.19
4,4,27,H,800.0,55854.66
5,5,27,H,800.0,2577.49
6,6,27,H,800.0,5340.46
7,7,27,H,800.0,9596.34
8,8,27,H,800.0,557.47
9,9,27,H,800.0,17742.82
10,10,27,H,800.0,30630.73
11,11,27,H,800.0,7764.8
12,12,27,H,800.0,3217.93
13,13,27,H,800.0,29638.92
14,14,27,H,800.0,11619.58
15,15,27,H,800.0,1936.4
16,16,27,H,800.0,38393.41
17,17,27,H,800.0,10633.78
18,18,27,H,800.0,4491.4
19,19,27,H,800.0,2010.87
20,20,27,H,800.0,6447.59
21,21,27,H,800.0,18056.08
22,22,27,H,800.0,26103.63
23,23,27,H,800.0,3446.38
24,24,27,H,800.0,738.7
25,25,27,H,800.0,7676.89
26,26,27,H,800.0,7541.81
27,27,27,H,800.0,16682.58
28,28,27,H,800.0,2982.08
29,29,27,H,800.0,7810.52
30,30,27,H,800.0,347.43
31,31,27,H,800.0,695.19
32,32,27,H,800.0,1595.74
33,33,27,H,800.0,4401.19
34,34,27,H,800.0,11421.68
35,35,27,H,800.0,11739.41
36,36,27,H,800.0,3541.06
37,37,27,H,800.0,63837.86
38,38,27,H,800.0,47428.89
39,39,27,H,800.0,1637.42
40,40,27,H,800.0,791.26
41,41,27,H,800.0,243.71
42,42,27,H,800.0,12651.85
43,43,27,H,800.0,17173.66
44,44,27,H,800.0,23914.59
45,45,27,H,800.0,4485.07
46,46,27,H,800.0,218.87
47,47,27,H,800.0,216.07
48,48,27,H,800.0,3272.35
49,49,27,H,800.0,13224.84
50,50,27,H,800.0,8889.13
51,51,27,H,800.0,34128.78
52,52,27,H,800.0,636.64
53,53,27,H,800.0,3483.69
54,54,27,H,800.0,6410.04
55,55,27,H,800.0,13194.49
56,56,27,H,800.0,6517.74
57,57,27,H,800.0,9947.43
58,58,27,H,800.0,34415.32
59,59,27,H,800.0,12330.21
60,60,27,H,800.0,2315.59
61,61,27,H,800.0,16042.49
62,62,27,H,800.0,6814.53
63,63,27,H,800.0,8583.05
64,64,27,H,800.0,10917.68
65,65,27,H,800.0,2964.43
66,66,27,H,800.0,8763.2
67,67,27,H,800.0,1381.49
68,68,27,H,800.0,2874.1
69,69,27,H,800.0,7232.8
70,70,27,H,800.0,4248.77
71,71,27,H,800.0,1421.32
72,72,27,H,800.0,8628.67
73,1,27,M,500.0,8730.04
74,2,27,M,500.0,37023.24
75,3,27,M,500.0,20859.74
76,4,27,M,500.0,104727.49
77,5,27,M,500.0,4832.8
78,6,27,M,500.0,10013.37
79,7,27,M,500.0,17993.13
80,8,27,M,500.0,1045.26
81,9,27,M,500.0,33267.8
82,10,27,M,500.0,57432.61
83,11,27,M,500.0,14558.99
84,12,27,M,500.0,6033.61
85,13,27,M,500.0,55572.97
86,14,27,M,500.0,21786.71
87,15,27,M,500.0,3630.75
88,16,27,M,500.0,71987.65
89,17,27,M,500.0,19938.33
90,18,27,M,500.0,8421.38
