dem_id,served
1,9534.89
2,15433.64
3,12747.15
4,21827.15
5,7829.06
6,9980.91
7,12134.24
8,4699.51
9,14893.09
10,17866.1
11,11307.17
12,8430.16
13,17671.15
14,12933.24
15,7117.2
16,19263.25
17,12556.63
18,9421.16
19,7207.29
20,10627.79
21,14980.23
22,16938.6
23,8625.11
24,5161.78
25,11264.34
26,11197.88
27,14590.33
28,8218.97
29,11329.32
30,4014.22
31,5058.39
32,6672.65
33,9357.66
34,12859.4
35,12977.55
36,8703.39
37,22821.11
38,20669.26
39,6730.25
40,5281.41
41,3566.72
42,13305.42
43,14732.11
44,16451.22
45,9416.73
46,3441.18
47,3426.42
48,8477.42
49,13503.32
50,11828.52
51,18521.84
52,4912.18
53,8656.13
54,10607.12
55,13492.99
56,10666.19
57,12280.45
58,18573.53
59,13191.7
60,7554.36
61,14401.28
62,10825.7
63,11691.16
64,12667.4
65,8202.72
66,11772.39
67,6359.54
68,8118.54
69,11042.8
70,9248.37
71,6420.1
72,11711.84
73,17877.91
74,28938.07
75,23900.91
76,40925.91
77,14679.49
78,18714.21
79,22751.69
80,8811.57
81,27924.55
82,33498.93
83,21200.94
84,15806.56
85,33133.4
86,24249.83
87,13344.74
88,36118.59
89,23543.68
90,17664.68
91,13513.66
92,19927.11
93,28087.93
94,31759.88
95,16172.09
96,9678.33
97,21120.64
98,20996.02
99,27356.86
100,15410.56
101,21242.48
102,7526.67
103,9484.49
104,12511.22
105,17545.61
106,24111.37
107,24332.9
108,16318.86
109,42789.57
110,38754.86
111,12619.21
112,9902.64
113,6687.6
114,24947.66
115,27622.7
116,30846.04
117,17656.38
118,6452.22
119,6424.53
120,15895.17
121,25318.73
122,22178.47
123,34728.45
124,9210.34
125,16230.24
126,19888.35
127,25299.35
128,19999.11
129,23025.84
130,34825.37
131,24734.43
132,14164.42
133,27002.4
134,20298.19
135,21920.93
136,23751.37
137,15380.1
138,22073.24
139,11924.15
140,15222.26
141,20705.26
142,17340.69
143,12037.68
144,21959.7
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
