subclass_name,resource,fips,county,state,usdaregion,"County Square Miles",scenario_name,prod_source,price_offered,production_total,production_unit,production_energy_content,energy_content_unit,total_prod_density_dtpersqmi
FOG,"FOG, brown grease",55003,"Ashland County",WI,"Lake States",1054.13,"mature-market medium",wastes,426.67,79.00,dt,2686000000,BTU,0.07
FOG,"FOG, brown grease",55003,"Ashland County",WI,"Lake States",1054.13,near-term,wastes,426.67,104.00,dt,3536000000,BTU,0.10
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,Emerging,wastes,446.87,242.00,dt,8228000000,BTU,0.27
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,"mature-market high",wastes,446.87,242.00,dt,8228000000,BTU,0.27
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,"mature-market low",wastes,426.67,242.00,dt,8228000000,BTU,0.27
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,"mature-market medium",wastes,426.67,242.00,dt,8228000000,BTU,0.27
FOG,"FOG, brown grease",55005,"Barron County",WI,"Lake States",889.76,near-term,wastes,426.67,302.00,dt,10268000000,BTU,0.34
FOG,"FOG, brown grease",55007,"Bayfield County",WI,"Lake States",1511.34,Emerging,wastes,446.87,86.00,dt,2924000000,BTU,0.06
FOG,"FOG, brown grease",55007,"Bayfield County",WI,"Lake States",1511.34,"mature-market high",wastes,446.87,86.00,dt,2924000000,BTU,0.06
FOG,"FOG, brown grease",55007,"Bayfield County",WI,"Lake States",1511.34,"mature-market low",wastes,426.67,86.00,dt,2924000000,BTU,0.06
FOG,"FOG, brown grease",55007,"Bayfield County",WI,"Lake States",1511.34,"mature-market medium",wastes,426.67,86.00,dt,2924000000,BTU,0.06
FOG,"FOG, brown grease",55007,"Bayfield County",WI,"Lake States",1511.34,near-term,wastes,426.67,101.00,dt,3434000000,BTU,0.07
FOG,"FOG, brown grease",55009,"Brown County",WI,"Lake States",531.24,Emerging,wastes,446.87,2062.00,dt,70108000000,BTU,3.88
FOG,"FOG, brown grease",55009,"Brown County",WI,"Lake States",531.24,"mature-market high",wastes,446.87,2062.00,dt,70108000000,BTU,3.88
FOG,"FOG, brown grease",55009,"Brown County",WI,"Lake States",531.24,"mature-market low",wastes,426.67,2062.00,dt,70108000000,BTU,3.88
FOG,"FOG, brown grease",55009,"Brown County",WI,"Lake States",531.24,"mature-market medium",wastes,426.67,2062.00,dt,70108000000,BTU,3.88
FOG,"FOG, brown grease",55009,"Brown County",WI,"Lake States",531.24,near-term,wastes,426.67,1768.00,dt,60112000000,BTU,3.33
FOG,"FOG, brown grease",55011,"Buffalo County",WI,"Lake States",709.59,Emerging,wastes,446.87,63.00,dt,2142000000,BTU,0.09
FOG,"FOG, brown grease",55011,"Buffalo County",WI,"Lake States",709.59,"mature-market high",wastes,446.87,63.00,dt,2142000000,BTU,0.09
FOG,"FOG, brown grease",55011,"Buffalo County",WI,"Lake States",709.59,"mature-market low",wastes,426.67,63.00,dt,2142000000,BTU,0.09
FOG,"FOG, brown grease",55011,"Buffalo County",WI,"Lake States",709.59,"mature-market medium",wastes,426.67,63.00,dt,2142000000,BTU,0.09
FOG,"FOG, brown grease",55011,"Buffalo County",WI,"Lake States",709.59,near-term,wastes,426.67,87.00,dt,2958000000,BTU,0.12
FOG,"FOG, brown grease",55013,"Burnett County",WI,"Lake States",880.22,Emerging,wastes,446.87,67.00,dt,2278000000,BTU,0.08
FOG,"FOG, brown grease",55013,"Burnett County",WI,"Lake States",880.22,"mature-market high",wastes,446.87,67.00,dt,2278000000,BTU,0.08
FOG,"FOG, brown grease",55013,"Burnett County",WI,"Lake States",880.22,"mature-market low",wastes,426.67,67.00,dt,2278000000,BTU,0.08
FOG,"FOG, brown grease",55013,"Burnett County",WI,"Lake States",880.22,"mature-market medium",wastes,426.67,67.00,dt,2278000000,BTU,0.08
FOG,"FOG, brown grease",55013,"Burnett County",WI,"Lake States",880.22,near-term,wastes,426.67,103.00,dt,3502000000,BTU,0.12
FOG,"FOG, brown grease",55015,"Calumet County",WI,"Lake States",397.08,Emerging,wastes,446.87,327.00,dt,11118000000,BTU,0.82
FOG,"FOG, brown grease",55015,"Calumet County",WI,"Lake States",397.08,"mature-market high",wastes,446.87,327.00,dt,11118000000,BTU,0.82
FOG,"FOG, brown grease",55015,"Calumet County",WI,"Lake States",397.08,"mature-market low",wastes,426.67,327.00,dt,11118000000,BTU,0.82
FOG,"FOG, brown grease",55015,"Calumet County",WI,"Lake States",397.08,"mature-market medium",wastes,426.67,327.00,dt,11118000000,BTU,0.82
FOG,"FOG, brown grease",55015,"Calumet County",WI,"Lake States",397.08,near-term,wastes,426.67,335.00,dt,11390000000,BTU,0.84
FOG,"FOG, brown grease",55017,"Chippewa County",WI,"Lake States",1041.27,Emerging,wastes,446.87,416.00,dt,14144000000,BTU,0.40
FOG,"FOG, brown grease",55017,"Chippewa County",WI,"Lake States",1041.27,"mature-market high",wastes,446.87,416.00,dt,14144000000,BTU,0.40
