class,subclass,resource,fips,county,state_name,usdaregion,"County Square Miles",model_name,scenario_name,price_offered,production,production_unit,btu_ton,production_energy_content,energy_content_unit,production_density_dtpersqmi,landsource
"agriculture land","Agricultural residues","Pruning residues, noncitrus",55007,"Bayfield County",Wisconsin,"Lake States",1511.34,"NASS 2017 Census","mature-market medium",40,365.10,dt,17368000,6341056800,BTU,0.24,Crop
"agriculture land","Agricultural residues","Pruning residues, noncitrus",55095,"Polk County",Wisconsin,"Lake States",956.41,"NASS 2017 Census","mature-market low",40,15.60,dt,17368000,270940800,BTU,0.02,Crop
"agriculture land","Agricultural residues","Oats straw",55083,"Oconto County",Wisconsin,"Lake States",1016.31,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55067,"Langlade County",Wisconsin,"Lake States",887.79,POLYSYS,"mature-market medium",70,69922.00,dt,16660000,1164900520000,BTU,78.76,Crop
"agriculture land","Agricultural residues","Oats straw",55113,"Sawyer County",Wisconsin,"Lake States",1350.24,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Pruning residues, noncitrus",55009,"Brown County",Wisconsin,"Lake States",531.24,"NASS 2017 Census","mature-market medium",40,63.40,dt,17368000,1101131200,BTU,0.12,Crop
"agriculture land","Agricultural residues","Pruning residues, tree nuts",55023,"Crawford County",Wisconsin,"Lake States",599.21,"NASS 2017 Census","mature-market high",40,9.20,dt,17368000,159785600,BTU,0.02,Crop
"agriculture land","Agricultural residues","Pruning residues, noncitrus",55079,"Milwaukee County",Wisconsin,"Lake States",242.17,"NASS 2017 Census",near-term,40,1.00,dt,17368000,17368000,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55087,"Outagamie County",Wisconsin,"Lake States",644.61,POLYSYS,emerging,70,116955.00,dt,15722000,1838766510000,BTU,181.44,Crop
"agriculture land","Agricultural residues","Oats straw",55025,"Dane County",Wisconsin,"Lake States",1237.5,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55077,"Marquette County",Wisconsin,"Lake States",464.47,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55111,"Sauk County",Wisconsin,"Lake States",849.19,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55079,"Milwaukee County",Wisconsin,"Lake States",242.17,POLYSYS,near-term,70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55089,"Ozaukee County",Wisconsin,"Lake States",235.28,POLYSYS,"mature-market high",400,5760.80,dt,23288300,134159238640,BTU,24.48,Crop
"agriculture land","Agricultural residues","Oats straw",55101,"Racine County",Wisconsin,"Lake States",340.39,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55095,"Polk County",Wisconsin,"Lake States",956.41,POLYSYS,"mature-market high",70,3404.00,dt,17296000,58875584000,BTU,3.56,Pasture
"agriculture land","Energy crops, woody",Willow,55121,"Trempealeau County",Wisconsin,"Lake States",741.98,POLYSYS,"mature-market high",70,8786.00,dt,17296000,151962656000,BTU,11.84,Crop
"agriculture land","Agricultural residues","Oats straw",55055,"Jefferson County",Wisconsin,"Lake States",582.74,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55053,"Jackson County",Wisconsin,"Lake States",1000.48,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55069,"Lincoln County",Wisconsin,"Lake States",906.79,POLYSYS,"mature-market medium",70,57383.00,dt,16660000,956000780000,BTU,63.28,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55113,"Sawyer County",Wisconsin,"Lake States",1350.24,POLYSYS,emerging,70,27448.00,dt,16660000,457283680000,BTU,20.33,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55051,"Iron County",Wisconsin,"Lake States",802.62,POLYSYS,emerging,70,3254.00,dt,16660000,54211640000,BTU,4.05,Crop
"agriculture land","Agricultural residues","Corn stover",55111,"Sauk County",Wisconsin,"Lake States",849.19,POLYSYS,"mature-market high",70,181090.00,dt,15722000,2847096980000,BTU,213.25,Crop
"agriculture land","Energy crops, woody",Willow,55007,"Bayfield County",Wisconsin,"Lake States",1511.34,POLYSYS,"mature-market medium",70,1352.00,dt,17296000,23384192000,BTU,0.89,Pasture
"agriculture land","Agricultural residues","Wheat straw",55043,"Grant County",Wisconsin,"Lake States",1183.37,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55101,"Racine County",Wisconsin,"Lake States",340.39,POLYSYS,"mature-market high",70,114005.00,dt,15722000,1792386610000,BTU,334.92,Crop
"agriculture land","Agricultural residues","Oats straw",55113,"Sawyer County",Wisconsin,"Lake States",1350.24,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55117,"Sheboygan County",Wisconsin,"Lake States",517.64,POLYSYS,emerging,70,96493.00,dt,15722000,1517062946000,BTU,186.41,Crop
"agriculture land","Agricultural residues","Wheat straw",55105,"Rock County",Wisconsin,"Lake States",726.16,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55055,"Jefferson County",Wisconsin,"Lake States",582.74,POLYSYS,"mature-market high",70,358132.00,dt,15722000,5630551304000,BTU,614.57,Crop
"agriculture land","Agricultural residues","Corn stover",55141,"Wood County",Wisconsin,"Lake States",809.25,POLYSYS,"mature-market high",70,129003.00,dt,15722000,2028185166000,BTU,159.41,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55133,"Waukesha County",Wisconsin,"Lake States",580.54,POLYSYS,"mature-market low",70,930.00,dt,16660000,15493800000,BTU,1.60,Pasture
"agriculture land","Agricultural residues","Wheat straw",55059,"Kenosha County",Wisconsin,"Lake States",278.42,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55039,"Fond du Lac County",Wisconsin,"Lake States",765.84,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55121,"Trempealeau County",Wisconsin,"Lake States",741.98,POLYSYS,"mature-market medium",400,20363.62,dt,23288300,474234091646,BTU,27.44,Crop
"agriculture land","Agricultural residues","Corn stover",55049,"Iowa County",Wisconsin,"Lake States",768.05,POLYSYS,"mature-market low",70,143453.00,dt,15722000,2255368066000,BTU,186.78,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55045,"Green County",Wisconsin,"Lake States",584.55,POLYSYS,"mature-market low",70,40333.00,dt,16660000,671947780000,BTU,69.00,Pasture
"agriculture land","Energy crops, woody",Willow,55025,"Dane County",Wisconsin,"Lake States",1237.5,POLYSYS,"mature-market high",70,14714.00,dt,17296000,254493344000,BTU,11.89,Pasture
"agriculture land","Agricultural residues","Corn stover",55103,"Richland County",Wisconsin,"Lake States",589.3,POLYSYS,"mature-market medium",70,22735.00,dt,15722000,357439670000,BTU,38.58,Crop
"agriculture land","Agricultural residues","Corn stover",55067,"Langlade County",Wisconsin,"Lake States",887.79,POLYSYS,"mature-market medium",70,672.00,dt,15722000,10565184000,BTU,0.76,Crop
"agriculture land","Agricultural residues","Oats straw",55005,"Barron County",Wisconsin,"Lake States",889.76,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55037,"Florence County",Wisconsin,"Lake States",497.43,POLYSYS,emerging,70,0.00,dt,16660000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55071,"Manitowoc County",Wisconsin,"Lake States",594.62,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55093,"Pierce County",Wisconsin,"Lake States",592.73,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55007,"Bayfield County",Wisconsin,"Lake States",1511.34,POLYSYS,emerging,70,23772.00,dt,16660000,396041520000,BTU,15.73,Pasture
"agriculture land","Energy crops, woody",Poplar,55009,"Brown County",Wisconsin,"Lake States",531.24,POLYSYS,"mature-market high",70,1006.00,dt,16904000,17005424000,BTU,1.89,Pasture
"agriculture land","Agricultural residues","Oats straw",55019,"Clark County",Wisconsin,"Lake States",1218.67,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55129,"Washburn County",Wisconsin,"Lake States",853.32,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55109,"St. Croix County",Wisconsin,"Lake States",735.19,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55065,"Lafayette County",Wisconsin,"Lake States",634.57,POLYSYS,"mature-market high",70,8884.00,dt,16660000,148007440000,BTU,14.00,Pasture
"agriculture land","Energy crops, herbaceous",Miscanthus,55135,"Waupaca County",Wisconsin,"Lake States",765.17,POLYSYS,emerging,70,29518.00,dt,16660000,491769880000,BTU,38.58,Pasture
"agriculture land","Agricultural residues","Corn stover",55079,"Milwaukee County",Wisconsin,"Lake States",242.17,POLYSYS,"mature-market medium",70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55045,"Green County",Wisconsin,"Lake States",584.55,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55079,"Milwaukee County",Wisconsin,"Lake States",242.17,POLYSYS,"mature-market high",70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55107,"Rusk County",Wisconsin,"Lake States",930.86,POLYSYS,near-term,70,8922.00,dt,15722000,140271684000,BTU,9.58,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55137,"Waushara County",Wisconsin,"Lake States",637.4,POLYSYS,"mature-market medium",70,5537.00,dt,16660000,92246420000,BTU,8.69,Pasture
"agriculture land","Intermediate oilseeds",Pennycress,55073,"Marathon County",Wisconsin,"Lake States",1576.33,POLYSYS,"mature-market low",400,34472.26,dt,23288300,802800332558,BTU,21.87,Crop
"agriculture land","Energy crops, woody",Willow,55141,"Wood County",Wisconsin,"Lake States",809.25,POLYSYS,"mature-market high",70,4843.00,dt,17296000,83764528000,BTU,5.98,Crop
"agriculture land","Energy crops, herbaceous",Switchgrass,55097,"Portage County",Wisconsin,"Lake States",822.82,POLYSYS,"mature-market high",70,0.00,dt,16424000,0,BTU,0.00,Pasture
"agriculture land","Intermediate oilseeds",Pennycress,55073,"Marathon County",Wisconsin,"Lake States",1576.33,POLYSYS,"mature-market high",400,34472.26,dt,23288300,802800332558,BTU,21.87,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55101,"Racine County",Wisconsin,"Lake States",340.39,POLYSYS,"mature-market low",70,459.00,dt,16660000,7646940000,BTU,1.35,Pasture
"agriculture land","Agricultural residues","Wheat straw",55103,"Richland County",Wisconsin,"Lake States",589.3,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55023,"Crawford County",Wisconsin,"Lake States",599.21,POLYSYS,"mature-market medium",70,9132.00,dt,16660000,152139120000,BTU,15.24,Pasture
"agriculture land","Agricultural residues","Corn stover",55037,"Florence County",Wisconsin,"Lake States",497.43,POLYSYS,"mature-market medium",70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55011,"Buffalo County",Wisconsin,"Lake States",709.59,POLYSYS,"mature-market medium",70,1201.00,dt,17296000,20772496000,BTU,1.69,Pasture
"agriculture land","Energy crops, woody",Willow,55011,"Buffalo County",Wisconsin,"Lake States",709.59,POLYSYS,emerging,70,1304.00,dt,17296000,22553984000,BTU,1.84,Pasture
"agriculture land","Intermediate oilseeds",Pennycress,55135,"Waupaca County",Wisconsin,"Lake States",765.17,POLYSYS,"mature-market low",400,14298.80,dt,23288300,332994744040,BTU,18.69,Crop
"agriculture land","Agricultural residues","Oats straw",55135,"Waupaca County",Wisconsin,"Lake States",765.17,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55029,"Door County",Wisconsin,"Lake States",487.56,POLYSYS,emerging,70,162504.00,dt,16660000,2707316640000,BTU,333.30,Crop
"agriculture land","Agricultural residues","Wheat straw",55103,"Richland County",Wisconsin,"Lake States",589.3,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55035,"Eau Claire County",Wisconsin,"Lake States",645.2,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55061,"Kewaunee County",Wisconsin,"Lake States",343.95,POLYSYS,"mature-market high",70,150936.00,dt,16660000,2514593760000,BTU,438.83,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55099,"Price County",Wisconsin,"Lake States",1278.04,POLYSYS,"mature-market low",70,21225.00,dt,16660000,353608500000,BTU,16.61,Pasture
"agriculture land","Energy crops, woody",Willow,55077,"Marquette County",Wisconsin,"Lake States",464.47,POLYSYS,"mature-market high",70,2476.00,dt,17296000,42824896000,BTU,5.33,Pasture
"agriculture land","Agricultural residues","Oats straw",55091,"Pepin County",Wisconsin,"Lake States",248.7,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55027,"Dodge County",Wisconsin,"Lake States",907.1,POLYSYS,"mature-market medium",70,404843.00,dt,15722000,6364941646000,BTU,446.30,Crop
"agriculture land","Agricultural residues","Corn stover",55071,"Manitowoc County",Wisconsin,"Lake States",594.62,POLYSYS,near-term,70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55111,"Sauk County",Wisconsin,"Lake States",849.19,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55077,"Marquette County",Wisconsin,"Lake States",464.47,POLYSYS,"mature-market medium",400,9354.73,dt,23288300,217855758659,BTU,20.14,Crop
"agriculture land","Energy crops, woody",Poplar,55031,"Douglas County",Wisconsin,"Lake States",1332.11,POLYSYS,"mature-market medium",70,365.00,dt,16904000,6169960000,BTU,0.27,Pasture
"agriculture land","Energy crops, woody",Willow,55029,"Door County",Wisconsin,"Lake States",487.56,POLYSYS,"mature-market high",70,76048.00,dt,17296000,1315326208000,BTU,155.98,Crop
"agriculture land","Energy crops, woody",Willow,55071,"Manitowoc County",Wisconsin,"Lake States",594.62,POLYSYS,emerging,70,7167.00,dt,17296000,123960432000,BTU,12.05,Pasture
"agriculture land","Energy crops, herbaceous",Miscanthus,55085,"Oneida County",Wisconsin,"Lake States",1236.57,POLYSYS,"mature-market medium",70,10847.00,dt,16660000,180711020000,BTU,8.77,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55027,"Dodge County",Wisconsin,"Lake States",907.1,POLYSYS,emerging,70,38585.00,dt,16660000,642826100000,BTU,42.54,Pasture
"agriculture land","Agricultural residues","Corn stover",55125,"Vilas County",Wisconsin,"Lake States",1017.72,POLYSYS,near-term,70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55141,"Wood County",Wisconsin,"Lake States",809.25,POLYSYS,"mature-market high",70,40591.00,dt,16660000,676246060000,BTU,50.16,Pasture
"agriculture land","Agricultural residues","Wheat straw",55053,"Jackson County",Wisconsin,"Lake States",1000.48,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55075,"Marinette County",Wisconsin,"Lake States",1429.25,POLYSYS,"mature-market high",70,2726.00,dt,17296000,47148896000,BTU,1.91,Pasture
"agriculture land","Agricultural residues","Oats straw",55127,"Walworth County",Wisconsin,"Lake States",576.6,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55059,"Kenosha County",Wisconsin,"Lake States",278.42,POLYSYS,"mature-market medium",70,116853.00,dt,15722000,1837162866000,BTU,419.70,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55007,"Bayfield County",Wisconsin,"Lake States",1511.34,POLYSYS,"mature-market medium",400,1040.39,dt,23288300,24228914437,BTU,0.69,Crop
"agriculture land","Agricultural residues","Wheat straw",55061,"Kewaunee County",Wisconsin,"Lake States",343.95,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55067,"Langlade County",Wisconsin,"Lake States",887.79,POLYSYS,"mature-market low",70,702.00,dt,15722000,11036844000,BTU,0.79,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55079,"Milwaukee County",Wisconsin,"Lake States",242.17,POLYSYS,"mature-market low",400,629.12,dt,23288300,14651135296,BTU,2.60,Crop
"agriculture land","Agricultural residues","Wheat straw",55045,"Green County",Wisconsin,"Lake States",584.55,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55119,"Taylor County",Wisconsin,"Lake States",984.56,POLYSYS,"mature-market high",70,25079.00,dt,15722000,394292038000,BTU,25.47,Crop
"agriculture land","Energy crops, woody",Willow,55103,"Richland County",Wisconsin,"Lake States",589.3,POLYSYS,"mature-market medium",70,989.00,dt,17296000,17105744000,BTU,1.68,Pasture
"agriculture land","Agricultural residues","Oats straw",55019,"Clark County",Wisconsin,"Lake States",1218.67,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55089,"Ozaukee County",Wisconsin,"Lake States",235.28,POLYSYS,"mature-market medium",400,5760.80,dt,23288300,134159238640,BTU,24.48,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55099,"Price County",Wisconsin,"Lake States",1278.04,POLYSYS,emerging,70,27106.00,dt,16660000,451585960000,BTU,21.21,Crop
"agriculture land","Agricultural residues","Wheat straw",55101,"Racine County",Wisconsin,"Lake States",340.39,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55011,"Buffalo County",Wisconsin,"Lake States",709.59,POLYSYS,"mature-market medium",400,15418.42,dt,23288300,359068790486,BTU,21.73,Crop
"agriculture land","Agricultural residues","Oats straw",55133,"Waukesha County",Wisconsin,"Lake States",580.54,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55069,"Lincoln County",Wisconsin,"Lake States",906.79,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55071,"Manitowoc County",Wisconsin,"Lake States",594.62,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55115,"Shawano County",Wisconsin,"Lake States",909.4,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55057,"Juneau County",Wisconsin,"Lake States",805.17,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55141,"Wood County",Wisconsin,"Lake States",809.25,POLYSYS,emerging,70,6411.00,dt,17296000,110884656000,BTU,7.92,Pasture
"agriculture land","Agricultural residues","Oats straw",55077,"Marquette County",Wisconsin,"Lake States",464.47,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55069,"Lincoln County",Wisconsin,"Lake States",906.79,POLYSYS,"mature-market high",70,0.00,dt,17296000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55113,"Sawyer County",Wisconsin,"Lake States",1350.24,POLYSYS,emerging,400,1471.38,dt,23288300,34265938854,BTU,1.09,Crop
"agriculture land","Agricultural residues","Corn stover",55003,"Ashland County",Wisconsin,"Lake States",1054.13,POLYSYS,"mature-market low",70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55135,"Waupaca County",Wisconsin,"Lake States",765.17,POLYSYS,"mature-market medium",70,4024.00,dt,16660000,67039840000,BTU,5.26,Crop
"agriculture land","Agricultural residues","Wheat straw",55039,"Fond du Lac County",Wisconsin,"Lake States",765.84,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55069,"Lincoln County",Wisconsin,"Lake States",906.79,POLYSYS,emerging,400,3859.75,dt,23288300,89887015925,BTU,4.26,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55083,"Oconto County",Wisconsin,"Lake States",1016.31,POLYSYS,"mature-market medium",70,24442.00,dt,16660000,407203720000,BTU,24.05,Pasture
"agriculture land","Energy crops, woody",Willow,55121,"Trempealeau County",Wisconsin,"Lake States",741.98,POLYSYS,"mature-market medium",70,1636.00,dt,17296000,28296256000,BTU,2.20,Pasture
"agriculture land","Agricultural residues","Wheat straw",55121,"Trempealeau County",Wisconsin,"Lake States",741.98,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55029,"Door County",Wisconsin,"Lake States",487.56,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55047,"Green Lake County",Wisconsin,"Lake States",380.13,POLYSYS,emerging,70,195403.00,dt,15722000,3072125966000,BTU,514.04,Crop
"agriculture land","Agricultural residues","Wheat straw",55043,"Grant County",Wisconsin,"Lake States",1183.37,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55087,"Outagamie County",Wisconsin,"Lake States",644.61,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55105,"Rock County",Wisconsin,"Lake States",726.16,POLYSYS,emerging,400,35041.90,dt,23288300,816066279770,BTU,48.26,Crop
"agriculture land","Agricultural residues","Wheat straw",55045,"Green County",Wisconsin,"Lake States",584.55,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55135,"Waupaca County",Wisconsin,"Lake States",765.17,POLYSYS,emerging,70,59216.00,dt,16660000,986538560000,BTU,77.39,Crop
"agriculture land","Agricultural residues","Oats straw",55131,"Washington County",Wisconsin,"Lake States",435.66,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55003,"Ashland County",Wisconsin,"Lake States",1054.13,POLYSYS,near-term,70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55035,"Eau Claire County",Wisconsin,"Lake States",645.2,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55019,"Clark County",Wisconsin,"Lake States",1218.67,POLYSYS,"mature-market medium",70,121519.00,dt,15722000,1910521718000,BTU,99.71,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55049,"Iowa County",Wisconsin,"Lake States",768.05,POLYSYS,"mature-market medium",70,4689.00,dt,16660000,78118740000,BTU,6.11,Pasture
"agriculture land","Energy crops, herbaceous",Miscanthus,55017,"Chippewa County",Wisconsin,"Lake States",1041.27,POLYSYS,"mature-market high",70,86652.00,dt,16660000,1443622320000,BTU,83.22,Pasture
"agriculture land","Agricultural residues","Wheat straw",55061,"Kewaunee County",Wisconsin,"Lake States",343.95,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55053,"Jackson County",Wisconsin,"Lake States",1000.48,POLYSYS,"mature-market low",70,1264.00,dt,17296000,21862144000,BTU,1.26,Pasture
"agriculture land","Agricultural residues","Corn stover",55051,"Iron County",Wisconsin,"Lake States",802.62,POLYSYS,"mature-market medium",70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55021,"Columbia County",Wisconsin,"Lake States",795.99,POLYSYS,"mature-market low",70,28541.00,dt,16660000,475493060000,BTU,35.86,Pasture
"agriculture land","Agricultural residues","Corn stover",55091,"Pepin County",Wisconsin,"Lake States",248.7,POLYSYS,"mature-market high",70,85700.00,dt,15722000,1347375400000,BTU,344.59,Crop
"agriculture land","Agricultural residues","Corn stover",55135,"Waupaca County",Wisconsin,"Lake States",765.17,POLYSYS,"mature-market medium",70,171122.00,dt,15722000,2690380084000,BTU,223.64,Crop
"agriculture land","Agricultural residues","Wheat straw",55095,"Polk County",Wisconsin,"Lake States",956.41,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Sorghum stubble",55039,"Fond du Lac County",Wisconsin,"Lake States",765.84,POLYSYS,"mature-market high",70,0.00,dt,14830000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55059,"Kenosha County",Wisconsin,"Lake States",278.42,POLYSYS,emerging,70,1557.00,dt,16660000,25939620000,BTU,5.59,Pasture
"agriculture land","Energy crops, herbaceous",Miscanthus,55061,"Kewaunee County",Wisconsin,"Lake States",343.95,POLYSYS,emerging,70,14442.00,dt,16660000,240603720000,BTU,41.99,Pasture
"agriculture land","Agricultural residues","Corn stover",55055,"Jefferson County",Wisconsin,"Lake States",582.74,POLYSYS,"mature-market medium",70,299366.00,dt,15722000,4706632252000,BTU,513.72,Crop
"agriculture land","Agricultural residues","Corn stover",55101,"Racine County",Wisconsin,"Lake States",340.39,POLYSYS,"mature-market low",70,86491.00,dt,15722000,1359811502000,BTU,254.09,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55023,"Crawford County",Wisconsin,"Lake States",599.21,POLYSYS,"mature-market low",70,8186.00,dt,16660000,136378760000,BTU,13.66,Pasture
"agriculture land","Agricultural residues","Wheat straw",55093,"Pierce County",Wisconsin,"Lake States",592.73,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55055,"Jefferson County",Wisconsin,"Lake States",582.74,POLYSYS,"mature-market medium",70,17812.00,dt,16660000,296747920000,BTU,30.57,Pasture
"agriculture land","Energy crops, herbaceous",Miscanthus,55007,"Bayfield County",Wisconsin,"Lake States",1511.34,POLYSYS,"mature-market medium",70,20476.00,dt,16660000,341130160000,BTU,13.55,Pasture
"agriculture land","Agricultural residues","Corn stover",55017,"Chippewa County",Wisconsin,"Lake States",1041.27,POLYSYS,emerging,70,384908.00,dt,15722000,6051523576000,BTU,369.65,Crop
"agriculture land","Agricultural residues","Oats straw",55013,"Burnett County",Wisconsin,"Lake States",880.22,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
